PERMNO,date,TICKER,RET,sprtrn
89393,2016/09/30,NFLX,0.011288,-0.001234
89393,2016/10/31,NFLX,0.267073,-0.019426
89393,2016/11/30,NFLX,-0.063026,0.034174
89393,2016/12/30,NFLX,0.058120,0.018201
89393,2017/01/31,NFLX,0.136591,0.017884
89393,2017/02/28,NFLX,0.010092,0.037198
89393,2017/03/31,NFLX,0.039963,-0.000389
89393,2017/04/28,NFLX,0.029700,0.009091
89393,2017/05/31,NFLX,0.071419,0.011576
89393,2017/06/30,NFLX,-0.083768,0.004814
89393,2017/07/31,NFLX,0.215849,0.019349
89393,2017/08/31,NFLX,-0.038258,0.000546
89393,2017/09/29,NFLX,0.038006,0.019303
89393,2017/10/31,NFLX,0.083154,0.022188
89393,2017/11/30,NFLX,-0.045054,0.028083
89393,2017/12/29,NFLX,0.023350,0.009832
89393,2018/01/31,NFLX,0.408106,0.056179
89393,2018/02/28,NFLX,0.077987,-0.038947
89393,2018/03/29,NFLX,0.013625,-0.026885
89393,2018/04/30,NFLX,0.057931,0.002719
89393,2018/05/31,NFLX,0.125264,0.021608
89393,2018/06/29,NFLX,0.113282,0.004842
89393,2018/07/31,NFLX,-0.137905,0.036022
89393,2018/08/31,NFLX,0.089584,0.030263
89393,2018/09/28,NFLX,0.017542,0.004294
89393,2018/10/31,NFLX,-0.193382,-0.069403
89393,2018/11/30,NFLX,-0.051859,0.017859
89393,2018/12/31,NFLX,-0.064551,-0.091777
89393,2019/01/31,NFLX,0.268400,0.078684
89393,2019/02/28,NFLX,0.054786,0.029729
89393,2019/03/29,NFLX,-0.004300,0.017924
89393,2019/04/30,NFLX,0.039208,0.039313
89393,2019/05/31,NFLX,-0.073568,-0.065778
89393,2019/06/28,NFLX,0.070030,0.068930
89393,2019/07/31,NFLX,-0.120685,0.013128
89393,2019/08/30,NFLX,-0.090529,-0.018092
89393,2019/09/30,NFLX,-0.088953,0.017181
89393,2019/10/31,NFLX,0.073948,0.020432
89393,2019/11/29,NFLX,0.094812,0.034047
89393,2019/12/31,NFLX,0.028316,0.028590
89393,2020/01/31,NFLX,0.066508,-0.001628
89393,2020/02/28,NFLX,0.069373,-0.084110
89393,2020/03/31,NFLX,0.017532,-0.125119
89393,2020/04/30,NFLX,0.118109,0.126844
89393,2020/05/29,NFLX,-0.000286,0.045282
89393,2020/06/30,NFLX,0.084126,0.018388
89393,2020/07/31,NFLX,0.074367,0.055101
89393,2020/08/31,NFLX,0.083211,0.070065
89393,2020/09/30,NFLX,-0.055763,-0.039228
89393,2020/10/30,NFLX,-0.048577,-0.027666
89393,2020/11/30,NFLX,0.031446,0.107546
89393,2020/12/31,NFLX,0.101956,0.037121
90248,2010/01/29,DPZ,0.348449,-0.036974
90248,2010/02/26,DPZ,0.105310,0.028514
90248,2010/03/31,DPZ,0.092074,0.058796
90248,2010/04/30,DPZ,0.129765,0.014759
90248,2010/05/28,DPZ,-0.156392,-0.081976
90248,2010/06/30,DPZ,-0.130769,-0.053882
90248,2010/07/30,DPZ,0.131858,0.068778
90248,2010/08/31,DPZ,0.002346,-0.047449
90248,2010/09/30,DPZ,0.031201,0.087551
90248,2010/10/29,DPZ,0.122542,0.036856
90248,2010/11/30,DPZ,-0.004717,-0.002290
90248,2010/12/31,DPZ,0.079892,0.065300
