"Markettype","Trdmnt","Mretwdos","Mmvosd"
"8","2008-07","-0.044847","79306048.550"
"4","2008-07","0.050179","1662397612.550"
"2","2008-08","-0.271750","7441010.260"
"1","2008-08","-0.159518","3731028080.900"
"8","2008-08","-0.155302","66966421.590"
"4","2008-08","-0.214751","1321876510.700"
"2","2008-09","-0.127085","6495362.920"
"1","2008-09","-0.063573","3519532520.750"
"8","2008-09","-0.190944","54431051.480"
"4","2008-09","-0.074891","1231366311.620"
"2","2008-10","-0.332610","4334938.900"
"1","2008-10","-0.269331","2616898700.860"
"8","2008-10","-0.284197","38961860.190"
"4","2008-10","-0.253188","925410372.080"
"2","2008-11","0.193876","5175381.950"
"1","2008-11","0.119690","2978184287.760"
"8","2008-11","0.128173","42809436.430"
"4","2008-11","0.167379","1096557816.660"
"2","2008-12","0.039745","5381080.810"
"1","2008-12","0.008744","3120301236.370"
"8","2008-12","0.083297","44887961.330"
"4","2008-12","0.027524","1233991037.680"
"2","2009-01","0.124158","6049189.950"
"1","2009-01","0.139682","3598488413.370"
"8","2009-01","0.047263","47009530.670"
"4","2009-01","0.120401","1396977938.530"
"2","2009-02","0.054927","6381456.630"
"1","2009-02","0.050677","3844121823.430"
"8","2009-02","0.058729","50846100.400"
"4","2009-02","0.078709","1534530714.030"
"2","2009-03","0.227019","7830172.700"
"1","2009-03","0.184437","4734489868.830"
"8","2009-03","0.164063","59188681.320"
"4","2009-03","0.192422","1891818812.440"
"2","2009-04","0.014255","7897020.930"
"1","2009-04","0.048636","5109046576.430"
"8","2009-04","0.036972","61377032.840"
"4","2009-04","0.055791","2046400944.700"
"2","2009-05","0.079794","8429397.930"
"1","2009-05","0.050406","5656241588.700"
"8","2009-05","0.152051","70664704.810"
"4","2009-05","0.064897","2221151263.790"
"2","2009-06","0.091390","9253313.710"
"1","2009-06","0.126153","6452788444.940"
"8","2009-06","0.177315","82280510.950"
"4","2009-06","0.092716","2513232002.200"
"2","2009-07","0.151609","10635978.410"
"1","2009-07","0.174293","8512380198.400"
"8","2009-07","0.111177","91009362.130"
"4","2009-07","0.165675","2973665368.220"
"2","2009-08","-0.147077","8986444.090"
"1","2009-08","-0.222727","6822086984.940"
"8","2009-08","-0.143991","77860004.170"
"4","2009-08","-0.186721","2470493346.180"
"2","2009-09","0.038321","9429012.840"
"1","2009-09","0.051885","7276121960.380"
"8","2009-09","0.068861","83213417.140"
"4","2009-09","0.051255","2628517879.740"
"16","2009-10","","25069048.000"
"2","2009-10","0.076940","10154484.560"
"1","2009-10","0.088416","9941549589.280"
"8","2009-10","0.067761","88852111.960"
"4","2009-10","0.117305","2952597119.870"
"16","2009-11","0.050551","26336328.320"
"2","2009-11","0.194016","12124618.440"
"1","2009-11","0.073822","10756442327.630"
"8","2009-11","0.143748","101623787.200"
"4","2009-11","0.123098","3352902601.520"
"16","2009-12","-0.095104","29897084.400"
"2","2009-12","0.017541","12334147.100"
"1","2009-12","0.033040","11376185082.410"
"8","2009-12","0.025370","104002322.290"
"4","2009-12","0.021559","3519354600.100"
"16","2010-01","-0.129531","35060864.720"
"2","2010-01","-0.038520","11859032.210"
"1","2010-01","-0.090872","10906560891.440"
"8","2010-01","-0.051655","98630083.740"
"4","2010-01","-0.063969","3331916429.210"
"16","2010-02","0.113494","50499115.600"
"2","2010-02","0.047305","12420026.740"
"1","2010-02","0.025090","11279778135.120"
"8","2010-02","0.016619","100269232.520"
"4","2010-02","0.050563","3529979343.450"
"16","2010-03","0.201985","68725902.000"
"2","2010-03","0.018077","12644547.020"
"1","2010-03","0.025675","11705019443.220"
"8","2010-03","0.043513","104574934.670"
"4","2010-03","0.021045","3674309407.240"
"16","2010-04","-0.141755","78420975.020"
"2","2010-04","-0.034443","12161424.790"
"1","2010-04","-0.077184","10983174125.660"
"8","2010-04","-0.037680","99892302.000"
