Markettype,Trdmnt,Mretwdeq,Mretmdeq,Mretwdos,Mretmdos
16,2014-05,0.073582,0.073506,0.049628,0.049553
4,2014-05,0.031213,0.031186,0.02203,0.021879
1,2014-05,0.015118,0.015112,0.008639,0.008623
16,2014-06,0.105521,0.105424,0.084214,0.084132
4,2014-06,0.04965,0.049573,0.030027,0.02996
1,2014-06,0.029252,0.029203,0.019741,0.019745
16,2014-07,0.002762,0.002771,-0.018245,-0.018229
4,2014-07,0.087631,0.087499,0.087324,0.086999
1,2014-07,0.098819,0.098488,0.091006,0.089814
16,2014-08,0.088697,0.088665,0.074083,0.074075
4,2014-08,0.0678,0.067767,0.040822,0.040818
1,2014-08,0.051361,0.051353,0.003789,0.003796
16,2014-09,0.155153,0.155143,0.120312,0.120308
1,2014-09,0.138598,0.138578,0.066752,0.066783
4,2014-09,0.14594,0.145914,0.101177,0.101166
1,2014-10,0.02826,0.028259,0.026438,0.026438
4,2014-10,0.01854,0.018522,0.017246,0.017227
16,2014-10,0.010911,0.010911,-0.002046,-0.002045
1,2014-11,0.080136,0.080333,0.112896,0.112881
4,2014-11,0.049349,0.049347,0.057556,0.057555
16,2014-11,0.084492,0.084484,0.055735,0.055726
1,2014-12,0.034285,0.034283,0.219892,0.219892
4,2014-12,-0.0482,-0.048188,0.036546,0.036548
16,2014-12,-0.138094,-0.138092,-0.10511,-0.10511
1,2015-01,0.053403,0.053399,-0.008813,-0.008806
4,2015-01,0.087365,0.087363,0.055275,0.055275
16,2015-01,0.124449,0.124449,0.127622,0.127622
1,2015-02,0.065532,0.065532,0.029338,0.029338
4,2015-02,0.077721,0.077721,0.069726,0.069726
16,2015-02,0.132068,0.132068,0.144312,0.144312
1,2015-03,0.199443,0.199441,0.128868,0.128867
4,2015-03,0.242069,0.242066,0.198714,0.198714
16,2015-03,0.294872,0.294861,0.260136,0.26013
1,2015-04,0.192641,0.192645,0.188764,0.188765
4,2015-04,0.184493,0.184456,0.152956,0.152934
16,2015-04,0.208621,0.208608,0.206114,0.206069
1,2015-05,0.230244,0.230165,0.017099,0.017096
4,2015-05,0.299567,0.299411,0.195067,0.194993
16,2015-05,0.592723,0.592549,0.36936,0.369252
1,2015-06,-0.0644,-0.064163,-0.05694,-0.056742
4,2015-06,-0.085215,-0.085055,-0.095942,-0.095783
16,2015-06,-0.116941,-0.116857,-0.189939,-0.189841
