fullname,OnlineTime_YMD,Bankrupt_WDZJ,Province,City,Collapse,Benign,Fraud,RegCapital,Background,Capitaldeposit,Obtaininvest,Joinasso,Autobid,Transright,Riskdeposit,Thirdguarantee
房融所,20150715,20180718.0,上海,上海,1,0.0,0.0,300.0,民营系,0,0.0,0.0,1,0,0.0,0.0
房司令,20150302,20150803.0,江苏,南京,1,0.0,0.0,20.0,民营系,0,0.0,0.0,1,0,0.0,0.0
房众金融,20160126,20181112.0,广东,广州,1,1.0,0.0,100.0,民营系,0,0.0,0.0,0,0,0.0,0.0
放心金融,20150408,20170817.0,北京,北京,1,1.0,0.0,100.0,民营系,0,0.0,1.0,0,1,0.0,0.0
飞特金融,20150124,20180502.0,天津,天津,1,1.0,0.0,100.0,民营系,0,0.0,0.0,1,1,0.0,0.0
飞腾财富,20150912,20160714.0,山东,淄博,1,0.0,0.0,500.0,民营系,0,0.0,0.0,0,0,0.0,0.0
飞翼聚财,20150801,20160727.0,贵州,遵义,1,0.0,0.0,800.0,民营系,0,0.0,0.0,1,1,0.0,0.0
飞鱼贷,20140916,20160728.0,湖北,武汉,1,0.0,1.0,100.0,民营系,0,0.0,0.0,0,0,0.0,0.0
分分贷,20110101,20120601.0,上海,上海,1,1.0,0.0,600.0,民营系,0,0.0,0.0,1,1,0.0,0.0
分秒金融,20161212,,北京,北京,0,,,5000.0,民营系,0,0.0,0.0,0,0,0.0,0.0
丰谦创投,20150725,20150803.0,云南,昆明,1,0.0,1.0,200.0,民营系,0,0.0,0.0,0,0,0.0,0.0
丰收贷理财,20150129,20170201.0,福建,福州,1,0.0,0.0,100.0,民营系,0,0.0,0.0,1,1,0.0,0.0
丰益贷,20150622,20160531.0,广东,深圳,1,0.0,0.0,500.0,民营系,0,0.0,0.0,0,0,0.0,1.0
丰睿贷,20140901,20161018.0,湖北,武汉,1,0.0,0.0,500.0,民营系,0,0.0,0.0,0,0,0.0,0.0
峰诺贷,20141209,20150425.0,山东,菏泽,1,0.0,0.0,100.0,民营系,0,0.0,0.0,0,0,0.0,0.0
凤城易贷,20141020,20141026.0,江苏,泰州,1,0.0,0.0,100.0,民营系,0,0.0,0.0,0,0,0.0,0.0
复祺在线,20150316,20160831.0,广东,深圳,1,0.0,0.0,300.0,民营系,0,0.0,0.0,0,0,0.0,0.0
富爸爸金融,20160718,20170126.0,北京,北京,1,0.0,0.0,500.0,民营系,0,0.0,0.0,0,0,0.0,0.0
富本速贷,20150906,20160526.0,广西,南宁,1,0.0,0.0,100.0,民营系,0,0.0,0.0,0,0,0.0,0.0
富创在线,20150424,,河北,石家庄,0,,,200.0,国企背景,1,0.0,0.0,0,1,0.0,1.0
富弘易贷,20150414,20150518.0,山东,东营,1,0.0,1.0,120.0,民营系,0,0.0,0.0,0,0,0.0,0.0
富金利,20150831,20181015.0,广东,深圳,1,1.0,0.0,1170.0,民营系,1,0.0,0.0,0,1,0.0,0.0
富通财富,20150416,20160614.0,山东,青岛,1,0.0,0.0,300.0,民营系,0,0.0,0.0,1,0,0.0,0.0
富一贷,20140714,20170829.0,湖北,武汉,1,0.0,0.0,10.0,民营系,0,0.0,0.0,0,0,0.0,0.0
富壹贷,20140616,20150714.0,广东,深圳,1,0.0,0.0,1000.0,民营系,0,0.0,0.0,0,0,0.0,0.0
改革牛,20161021,20190516.0,广东,深圳,1,1.0,0.0,310.0,民营系,1,0.0,0.0,1,0,0.0,0.0
港润信贷,20150330,20160429.0,江苏,苏州,1,0.0,0.0,280.0,民营系,0,0.0,0.0,1,0,0.0,0.0
港兴投资,20151218,20151231.0,湖北,武汉,1,0.0,1.0,200.0,民营系,0,0.0,0.0,0,0,0.0,0.0
公明贷,20141208,20180403.0,上海,上海,1,1.0,0.0,500.0,民营系,0,1.0,0.0,0,1,0.0,0.0
公众理财,20161207,,浙江,宁波,0,,,100.0,国企背景,0,0.0,0.0,0,0,0.0,0.0
公主理财,20160429,20160712.0,吉林,长春,1,0.0,0.0,100.0,民营系,0,0.0,0.0,0,0,0.0,0.0
共赢金融,20151001,20190523.0,云南,昆明,1,1.0,0.0,500.0,国企背景,0,0.0,0.0,0,0,0.0,0.0
