"SgnDate","Term_EN","Shibor"
"2017-03-23","6 months","4.35920"
"2017-03-23","9 months","4.17720"
"2017-03-24","14 days","3.36200"
"2017-03-24","1 day","2.60400"
"2017-03-24","1 year","4.18350"
"2017-03-24","90 days","4.45160"
"2017-03-24","30 days","4.45810"
"2017-03-24","9 months","4.17880"
"2017-03-24","6 months","4.36630"
"2017-03-24","7 days","2.78400"
"2017-03-27","1 day","2.48200"
"2017-03-27","1 year","4.18740"
"2017-03-27","30 days","4.42960"
"2017-03-27","7 days","2.79930"
"2017-03-27","90 days","4.43640"
"2017-03-27","14 days","3.33780"
"2017-03-27","6 months","4.35970"
"2017-03-27","9 months","4.18290"
"2017-03-28","14 days","3.33410"
"2017-03-28","7 days","2.79100"
"2017-03-28","1 day","2.44800"
"2017-03-28","30 days","4.41050"
"2017-03-28","1 year","4.19180"
"2017-03-28","6 months","4.35600"
"2017-03-28","90 days","4.42300"
"2017-03-28","9 months","4.18830"
"2017-03-29","1 day","2.52100"
"2017-03-29","90 days","4.41350"
"2017-03-29","30 days","4.39550"
"2017-03-29","7 days","2.81000"
"2017-03-29","9 months","4.19190"
"2017-03-29","6 months","4.35300"
"2017-03-29","1 year","4.19520"
"2017-03-29","14 days","3.35440"
"2017-03-30","14 days","3.38300"
"2017-03-30","1 day","2.50700"
"2017-03-30","1 year","4.20060"
"2017-03-30","30 days","4.38430"
"2017-03-30","6 months","4.34900"
"2017-03-30","90 days","4.39950"
"2017-03-30","9 months","4.19420"
"2017-03-30","7 days","2.82100"
"2017-03-31","1 year","4.20000"
"2017-03-31","14 days","3.40500"
"2017-03-31","7 days","2.85000"
"2017-03-31","6 months","4.35000"
"2017-03-31","9 months","4.19500"
"2017-03-31","1 day","2.53840"
"2017-03-31","30 days","4.35010"
"2017-03-31","90 days","4.39300"
"2017-04-01","14 days","3.35600"
"2017-04-01","90 days","4.36420"
"2017-04-01","7 days","2.77800"
"2017-04-01","9 months","4.19700"
"2017-04-01","6 months","4.35100"
"2017-04-01","1 day","2.49700"
"2017-04-01","1 year","4.20000"
"2017-04-01","30 days","4.31700"
"2017-04-05","1 day","2.48680"
"2017-04-05","90 days","4.33550"
"2017-04-05","30 days","4.25250"
"2017-04-05","7 days","2.74000"
"2017-04-05","9 months","4.19700"
"2017-04-05","6 months","4.34700"
"2017-04-05","1 year","4.20000"
"2017-04-05","14 days","3.30530"
"2017-04-06","14 days","3.27540"
"2017-04-06","1 day","2.53700"
"2017-04-06","1 year","4.20000"
"2017-04-06","30 days","4.17830"
"2017-04-06","6 months","4.34500"
"2017-04-06","90 days","4.31830"
"2017-04-06","9 months","4.19700"
"2017-04-06","7 days","2.75060"
"2017-04-07","1 year","4.20000"
"2017-04-07","14 days","3.24900"
"2017-04-07","7 days","2.74100"
"2017-04-07","6 months","4.33900"
"2017-04-07","9 months","4.19700"
"2017-04-07","1 day","2.49570"
"2017-04-07","30 days","4.11800"
"2017-04-07","90 days","4.30100"
"2017-04-10","14 days","3.22030"
"2017-04-10","90 days","4.29060"
"2017-04-10","7 days","2.70700"
"2017-04-10","9 months","4.19770"
"2017-04-10","6 months","4.33200"
"2017-04-10","1 day","2.44200"
"2017-04-10","1 year","4.20100"
"2017-04-10","30 days","4.07460"
"2017-04-11","1 day","2.40800"
"2017-04-11","90 days","4.27740"
"2017-04-11","30 days","4.03820"
"2017-04-11","7 days","2.68700"
"2017-04-11","9 months","4.19750"
"2017-04-11","6 months","4.32200"
"2017-04-11","1 year","4.20100"
"2017-04-11","14 days","3.18970"
"2017-04-12","14 days","3.16370"
"2017-04-12","1 day","2.38850"
"2017-04-12","1 year","4.20110"
"2017-04-12","30 days","4.01320"
"2017-04-12","6 months","4.31600"
"2017-04-12","90 days","4.26530"
"2017-04-12","9 months","4.19680"
"2017-04-12","7 days","2.66310"
"2017-04-13","14 days","3.15530"
"2017-04-13","1 day","2.41300"
"2017-04-13","30 days","4.00160"
"2017-04-13","6 months","4.31660"
"2017-04-13","90 days","4.26310"
"2017-04-13","1 year","4.20220"
"2017-04-13","7 days","2.65660"
"2017-04-13","9 months","4.19870"
"2017-04-14","14 days","3.16170"
"2017-04-14","1 day","2.42900"
"2017-04-14","1 year","4.20130"
"2017-04-14","30 days","3.99720"
"2017-04-14","6 months","4.31770"
"2017-04-14","7 days","2.67400"
"2017-04-14","90 days","4.26340"
"2017-04-14","9 months","4.19890"
"2017-04-17","1 year","4.20220"
"2017-04-17","14 days","3.17350"
"2017-04-17","6 months","4.31480"
"2017-04-17","7 days","2.69000"
"2017-04-17","90 days","4.26090"
"2017-04-17","30 days","3.99720"
"2017-04-17","9 months","4.19890"
"2017-04-17","1 day","2.44400"
"2017-04-18","14 days","3.18800"
"2017-04-18","30 days","3.99780"
"2017-04-18","1 day","2.48600"
"2017-04-18","6 months","4.31450"
"2017-04-18","90 days","4.26210"
"2017-04-18","1 year","4.20230"
"2017-04-18","7 days","2.71750"
"2017-04-18","9 months","4.19990"
"2017-04-19","14 days","3.21250"
"2017-04-19","1 day","2.57500"
"2017-04-19","30 days","4.00080"
"2017-04-19","6 months","4.32250"
"2017-04-19","90 days","4.26610"
"2017-04-19","1 year","4.21130"
"2017-04-19","7 days","2.75200"
"2017-04-19","9 months","4.20690"
"2017-04-20","14 days","3.22750"
"2017-04-20","1 day","2.59870"
"2017-04-20","1 year","4.21210"
"2017-04-20","30 days","4.00500"
"2017-04-20","6 months","4.32420"
"2017-04-20","7 days","2.75800"
"2017-04-20","90 days","4.27250"
"2017-04-20","9 months","4.20960"
"2017-04-21","1 year","4.21450"
"2017-04-21","14 days","3.22900"
"2017-04-21","6 months","4.32540"
"2017-04-21","7 days","2.76000"
"2017-04-21","90 days","4.27810"
"2017-04-21","30 days","4.00950"
"2017-04-21","9 months","4.21390"
"2017-04-21","1 day","2.61630"
"2017-04-24","14 days","3.24100"
"2017-04-24","30 days","4.01000"
"2017-04-24","1 day","2.71570"
"2017-04-24","6 months","4.32760"
"2017-04-24","90 days","4.27890"
"2017-04-24","1 year","4.21750"
"2017-04-24","7 days","2.79000"
"2017-04-24","9 months","4.21640"
"2017-04-25","14 days","3.26800"
"2017-04-25","1 day","2.75140"
"2017-04-25","30 days","4.01000"
"2017-04-25","6 months","4.32880"
"2017-04-25","90 days","4.28390"
"2017-04-25","1 year","4.22280"
"2017-04-25","7 days","2.81400"
"2017-04-25","9 months","4.22170"
"2017-04-26","14 days","3.27990"
"2017-04-26","1 day","2.75900"
"2017-04-26","1 year","4.22430"
"2017-04-26","30 days","4.01100"
"2017-04-26","6 months","4.33090"
"2017-04-26","7 days","2.82030"
"2017-04-26","90 days","4.28840"
"2017-04-26","9 months","4.22320"
"2017-04-27","1 year","4.22550"
"2017-04-27","14 days","3.29350"
"2017-04-27","6 months","4.33310"
"2017-04-27","7 days","2.84490"
"2017-04-27","90 days","4.29170"
"2017-04-27","30 days","4.01610"
"2017-04-27","9 months","4.22440"
"2017-04-27","1 day","2.79200"
"2017-04-28","14 days","3.30380"
"2017-04-28","90 days","4.29740"
"2017-04-28","7 days","2.86990"
"2017-04-28","30 days","4.02370"
"2017-04-28","9 months","4.22650"
"2017-04-28","6 months","4.33640"
"2017-04-28","1 day","2.81900"
"2017-04-28","1 year","4.22960"
"2017-05-02","14 days","3.31700"
"2017-05-02","1 year","4.23300"
"2017-05-02","9 months","4.23170"
"2017-05-02","6 months","4.33970"
"2017-05-02","7 days","2.87300"
"2017-05-02","90 days","4.30020"
"2017-05-02","1 day","2.81750"
"2017-05-02","30 days","4.02700"
"2017-05-03","1 day","2.84510"
"2017-05-03","30 days","4.03610"
"2017-05-03","6 months","4.35000"
"2017-05-03","14 days","3.34900"
"2017-05-03","1 year","4.24530"
"2017-05-03","90 days","4.33090"
"2017-05-03","9 months","4.24120"
"2017-05-03","7 days","2.91300"
