"Markettype","Trdwnt","Cwretmdos"
"53","2017-23","0.026255"
"63","2017-23","0.026309"
"69","2017-23","0.025390"
"79","2017-23","0.025453"
"85","2017-23","0.026255"
"95","2017-23","0.026309"
"101","2017-23","0.025390"
"111","2017-23","0.025453"
"117","2017-23","0.026255"
"127","2017-23","0.026309"
"33","2017-23","0.017264"
"20","2017-23","0.042318"
"10","2017-24","0.023274"
"5","2017-24","-0.005684"
"15","2017-24","-0.005545"
"21","2017-24","-0.004530"
"31","2017-24","-0.004405"
"37","2017-24","-0.005684"
"47","2017-24","-0.005545"
"53","2017-24","-0.004530"
"63","2017-24","-0.004405"
"69","2017-24","-0.005684"
"79","2017-24","-0.005545"
"85","2017-24","-0.004530"
"95","2017-24","-0.004405"
"101","2017-24","-0.005684"
"111","2017-24","-0.005545"
"117","2017-24","-0.004530"
"127","2017-24","-0.004405"
"33","2017-24","-0.010121"
"20","2017-24","0.005155"
"10","2017-25","0.006129"
"5","2017-25","0.014478"
"15","2017-25","0.014437"
"21","2017-25","0.012812"
"31","2017-25","0.012782"
"37","2017-25","0.014478"
"47","2017-25","0.014437"
"53","2017-25","0.012812"
"63","2017-25","0.012782"
"69","2017-25","0.014478"
"79","2017-25","0.014437"
"85","2017-25","0.012812"
"95","2017-25","0.012782"
"101","2017-25","0.014478"
"111","2017-25","0.014437"
"117","2017-25","0.012812"
"127","2017-25","0.012782"
"33","2017-25","0.015353"
"20","2017-25","0.008499"
"10","2017-26","0.018247"
"5","2017-26","0.014182"
"15","2017-26","0.014202"
"21","2017-26","0.013783"
"31","2017-26","0.013803"
"37","2017-26","0.014182"
"47","2017-26","0.014202"
"53","2017-26","0.013783"
"63","2017-26","0.013803"
"69","2017-26","0.014182"
"79","2017-26","0.014202"
"85","2017-26","0.013783"
"95","2017-26","0.013803"
"101","2017-26","0.014182"
"111","2017-26","0.014202"
"117","2017-26","0.013783"
"127","2017-26","0.013803"
"33","2017-26","0.012588"
"20","2017-26","0.015814"
"10","2017-27","0.017829"
"5","2017-27","0.008116"
"15","2017-27","0.008163"
"21","2017-27","0.008888"
"31","2017-27","0.008928"
"37","2017-27","0.008116"
"47","2017-27","0.008163"
"53","2017-27","0.008888"
"63","2017-27","0.008928"
"69","2017-27","0.008116"
"79","2017-27","0.008163"
"85","2017-27","0.008888"
"95","2017-27","0.008928"
"101","2017-27","0.008116"
"111","2017-27","0.008163"
"117","2017-27","0.008888"
"127","2017-27","0.008928"
"33","2017-27","0.008532"
"20","2017-27","0.009485"
"10","2017-28","0.006037"
"5","2017-28","0.007658"
"15","2017-28","0.007650"
"21","2017-28","0.003663"
"31","2017-28","0.003674"
"37","2017-28","0.007658"
"47","2017-28","0.007650"
"53","2017-28","0.003663"
"63","2017-28","0.003674"
"69","2017-28","0.007658"
"79","2017-28","0.007650"
"85","2017-28","0.003663"
"95","2017-28","0.003674"
"101","2017-28","0.007658"
"111","2017-28","0.007650"
"117","2017-28","0.003663"
"127","2017-28","0.003674"
"33","2017-28","0.015481"
"20","2017-28","-0.016229"
"10","2017-29","0.010717"
"5","2017-29","0.005731"
"15","2017-29","0.005755"
"21","2017-29","0.002053"
"31","2017-29","0.002092"
"37","2017-29","0.005731"
"47","2017-29","0.005755"
"53","2017-29","0.002053"
"63","2017-29","0.002092"
"69","2017-29","0.005731"
"79","2017-29","0.005755"
"85","2017-29","0.002053"
"95","2017-29","0.002092"
"101","2017-29","0.005731"
"111","2017-29","0.005755"
"117","2017-29","0.002053"
"127","2017-29","0.002092"
"33","2017-29","0.011788"
"20","2017-29","-0.014812"
"10","2017-30","0.011538"
"5","2017-30","0.006055"
"15","2017-30","0.006081"
"21","2017-30","0.007877"
"31","2017-30","0.007894"
"37","2017-30","0.006055"
"47","2017-30","0.006081"
"53","2017-30","0.007877"
"63","2017-30","0.007894"
"69","2017-30","0.006055"
"79","2017-30","0.006081"
"85","2017-30","0.007877"
"95","2017-30","0.007894"
"101","2017-30","0.006055"
"111","2017-30","0.006081"
"117","2017-30","0.007877"
"127","2017-30","0.007894"
"33","2017-30","0.005415"
"20","2017-30","0.012254"
"10","2017-31","-0.000753"
"5","2017-31","0.001477"
"15","2017-31","0.001467"
"21","2017-31","0.000826"
"31","2017-31","0.000819"
"37","2017-31","0.001477"
"47","2017-31","0.001467"
"53","2017-31","0.000826"
"63","2017-31","0.000819"
"69","2017-31","0.001477"
"79","2017-31","0.001467"
"85","2017-31","0.000826"
"95","2017-31","0.000819"
"101","2017-31","0.001477"
