"Markettype","Trdmnt","Cmretmdos"
"95","2014-05","0.013713"
"101","2014-05","0.012345"
"111","2014-05","0.012073"
"117","2014-05","0.013985"
"127","2014-05","0.013713"
"33","2014-05","0.008623"
"20","2014-05","0.025783"
"10","2014-06","0.055978"
"5","2014-06","0.022655"
"15","2014-06","0.022904"
"21","2014-06","0.025624"
"31","2014-06","0.025840"
"63","2014-06","0.025840"
"37","2014-06","0.022655"
"47","2014-06","0.022904"
"53","2014-06","0.025624"
"69","2014-06","0.022655"
"79","2014-06","0.022904"
"85","2014-06","0.025624"
"95","2014-06","0.025840"
"101","2014-06","0.022655"
"111","2014-06","0.022904"
"117","2014-06","0.025624"
"127","2014-06","0.025840"
"33","2014-06","0.019745"
"20","2014-06","0.038150"
"10","2014-07","0.103303"
"5","2014-07","0.088997"
"15","2014-07","0.089094"
"21","2014-07","0.083241"
"31","2014-07","0.083370"
"63","2014-07","0.083370"
"37","2014-07","0.088997"
"47","2014-07","0.089094"
"53","2014-07","0.083241"
"69","2014-07","0.088997"
"79","2014-07","0.089094"
"85","2014-07","0.083241"
"95","2014-07","0.083370"
"101","2014-07","0.088997"
"111","2014-07","0.089094"
"117","2014-07","0.083241"
"127","2014-07","0.083370"
"33","2014-07","0.089814"
"20","2014-07","0.069805"
"10","2014-08","0.048995"
"5","2014-08","0.014694"
"15","2014-08","0.014925"
"21","2014-08","0.017505"
"31","2014-08","0.017708"
"63","2014-08","0.017708"
"37","2014-08","0.014694"
"47","2014-08","0.014925"
"53","2014-08","0.017505"
"69","2014-08","0.014694"
"79","2014-08","0.014925"
"85","2014-08","0.017505"
"95","2014-08","0.017708"
"101","2014-08","0.014694"
"111","2014-08","0.014925"
"117","2014-08","0.017505"
"127","2014-08","0.017708"
"33","2014-08","0.003796"
"20","2014-08","0.045620"
"10","2014-09","0.056490"
"5","2014-09","0.077255"
"15","2014-09","0.077113"
"21","2014-09","0.079457"
"31","2014-09","0.079307"
"63","2014-09","0.079307"
"37","2014-09","0.077255"
"47","2014-09","0.077113"
"53","2014-09","0.079457"
"69","2014-09","0.077255"
"79","2014-09","0.077113"
"85","2014-09","0.079457"
"95","2014-09","0.079307"
"101","2014-09","0.077255"
"111","2014-09","0.077113"
"117","2014-09","0.079457"
"127","2014-09","0.079307"
"33","2014-09","0.066783"
"20","2014-09","0.104044"
"10","2014-10","-0.012955"
"5","2014-10","0.023564"
"15","2014-10","0.023314"
"21","2014-10","0.022202"
"31","2014-10","0.021975"
"63","2014-10","0.021975"
"37","2014-10","0.023564"
"47","2014-10","0.023314"
"53","2014-10","0.022202"
"69","2014-10","0.023564"
"79","2014-10","0.023314"
"85","2014-10","0.022202"
"95","2014-10","0.021975"
"101","2014-10","0.023564"
"111","2014-10","0.023314"
"117","2014-10","0.022202"
"127","2014-10","0.021975"
"33","2014-10","0.026438"
"20","2014-10","0.014280"
"10","2014-11","0.034967"
"5","2014-11","0.095701"
"15","2014-11","0.095299"
"21","2014-11","0.093627"
"31","2014-11","0.093259"
"63","2014-11","0.093259"
"37","2014-11","0.095701"
"47","2014-11","0.095299"
"53","2014-11","0.093627"
"69","2014-11","0.095701"
"79","2014-11","0.095299"
"85","2014-11","0.093627"
"95","2014-11","0.093259"
"101","2014-11","0.095701"
"111","2014-11","0.095299"
"117","2014-11","0.093627"
"127","2014-11","0.093259"
"33","2014-11","0.112881"
"20","2014-11","0.057281"
"10","2014-12","0.040783"
"5","2014-12","0.165543"
"15","2014-12","0.164797"
"21","2014-12","0.151618"
"31","2014-12","0.150989"
"63","2014-12","0.150989"
"37","2014-12","0.165543"
"47","2014-12","0.164797"
"53","2014-12","0.151618"
"69","2014-12","0.165543"
"79","2014-12","0.164797"
"85","2014-12","0.151618"
"95","2014-12","0.150989"
"101","2014-12","0.165543"
"111","2014-12","0.164797"
"117","2014-12","0.151618"
"127","2014-12","0.150989"
"33","2014-12","0.219892"
"20","2014-12","0.014634"
"10","2015-01","0.019885"
"5","2015-01","0.007830"
"15","2015-01","0.007896"
"21","2015-01","0.012622"
