"Symbol","TradingDate","ChangeRatio"
"000300","2020-12-11","-0.010302"
"000300","2020-12-14","0.009245"
"000300","2020-12-15","0.002080"
"000300","2020-12-16","0.001773"
"000300","2020-12-17","0.012841"
"000300","2020-12-18","-0.003490"
"000300","2020-12-21","0.009374"
"000300","2020-12-22","-0.016261"
"000300","2020-12-23","0.008530"
"000300","2020-12-24","-0.001420"
"000300","2020-12-25","0.008400"
"000300","2020-12-28","0.004443"
"000300","2020-12-29","-0.004241"
"000300","2020-12-30","0.014034"
"000300","2020-12-31","0.019082"
"000300","2021-01-01","0.000000"
"000300","2021-01-04","0.010828"
"000300","2021-01-05","0.019133"
"000300","2021-01-06","0.009158"
"000300","2021-01-07","0.017718"
"000300","2021-01-08","-0.003306"
"000300","2021-01-11","-0.009876"
"000300","2021-01-12","0.028522"
"000300","2021-01-13","-0.003285"
"000300","2021-01-14","-0.019275"
"000300","2021-01-15","-0.002262"
"000300","2021-01-18","0.011073"
"000300","2021-01-19","-0.014677"
"000300","2021-01-20","0.007156"
"000300","2021-01-21","0.016167"
"000300","2021-01-22","0.000864"
"000300","2021-01-25","0.010081"
"000300","2021-01-26","-0.020078"
"000300","2021-01-27","0.002727"
"000300","2021-01-28","-0.027290"
"000300","2021-01-29","-0.004682"
"000300","2021-02-01","0.012273"
"000300","2021-02-02","0.015402"
"000300","2021-02-03","-0.002889"
"000300","2021-02-04","-0.002052"
"000300","2021-02-05","0.001729"
"000300","2021-02-08","0.014799"
"000300","2021-02-09","0.021868"
"000300","2021-02-10","0.021362"
"000300","2021-02-11","0.000000"
"000300","2021-02-12","0.000000"
"000300","2021-02-15","0.000000"
"000300","2021-02-16","0.000000"
"000300","2021-02-17","0.000000"
"000300","2021-02-18","-0.006773"
"000300","2021-02-19","0.001814"
"000300","2021-02-22","-0.031409"
"000300","2021-02-23","-0.003156"
"000300","2021-02-24","-0.025467"
"000300","2021-02-25","0.005883"
"000300","2021-02-26","-0.024279"
"000300","2021-03-01","0.015369"
"000300","2021-03-02","-0.012762"
"000300","2021-03-03","0.019176"
"000300","2021-03-04","-0.031456"
"000300","2021-03-05","-0.003392"
"000300","2021-03-08","-0.034729"
"000300","2021-03-09","-0.021462"
"000300","2021-03-10","0.006561"
"000300","2021-03-11","0.024903"
"000300","2021-03-12","0.003542"
"000300","2021-03-15","-0.021537"
"000300","2021-03-16","0.008702"
"000300","2021-03-17","0.004232"
"000300","2021-03-18","0.008020"
"000300","2021-03-19","-0.026193"
"000300","2021-03-22","0.009998"
"000300","2021-03-23","-0.009473"
"000300","2021-03-24","-0.016082"
"000300","2021-03-25","-0.000474"
"000300","2021-03-26","0.022662"
"000300","2021-03-29","0.001764"
"000300","2021-03-30","0.009482"
"000300","2021-03-31","-0.009101"
"000300","2021-04-01","0.012364"
"000300","2021-04-02","0.009936"
"000300","2021-04-05","0.000000"
"000300","2021-04-06","-0.004110"
