PERMNO,date,TICKER,PRC,RET,sprtrn
84403,2021/04/06,WWD,122.43000,-0.007861,-0.000974
84403,2021/04/07,WWD,121.30000,-0.009230,0.001475
84403,2021/04/08,WWD,123.05000,0.014427,0.004221
84403,2021/04/09,WWD,122.71000,-0.002763,0.007720
84403,2021/04/12,WWD,123.95000,0.010105,-0.000196
84403,2021/04/13,WWD,121.86000,-0.016862,0.003295
84403,2021/04/14,WWD,122.29000,0.003529,-0.004088
84403,2021/04/15,WWD,122.78000,0.004007,0.011094
84403,2021/04/16,WWD,123.67000,0.007249,0.003609
84403,2021/04/19,WWD,123.07000,-0.004852,-0.005306
84403,2021/04/20,WWD,119.71000,-0.027302,-0.006802
84403,2021/04/21,WWD,122.07000,0.019714,0.009306
84403,2021/04/22,WWD,122.09000,0.000164,-0.009211
84403,2021/04/23,WWD,124.18000,0.017119,0.010929
84403,2021/04/26,WWD,124.22000,0.000322,0.001782
84403,2021/04/27,WWD,124.07000,-0.001208,-0.000215
84403,2021/04/28,WWD,124.28000,0.001693,-0.000846
84403,2021/04/29,WWD,125.23000,0.007644,0.006763
84403,2021/04/30,WWD,125.01000,-0.001757,-0.007195
84403,2021/05/03,WWD,124.54000,-0.003760,0.002748
84403,2021/05/04,WWD,127.02000,0.019913,-0.006678
84403,2021/05/05,WWD,124.35000,-0.021020,0.000704
84403,2021/05/06,WWD,126.39000,0.016405,0.008165
84403,2021/05/07,WWD,129.92999,0.028008,0.007373
84403,2021/05/10,WWD,128.08000,-0.014238,-0.010436
84403,2021/05/11,WWD,124.79000,-0.025687,-0.008674
84403,2021/05/12,WWD,118.80000,-0.048001,-0.021449
84403,2021/05/13,WWD,121.15000,0.019781,0.012173
84403,2021/05/14,WWD,121.90000,0.006191,0.014918
84403,2021/05/17,WWD,121.81000,0.000595,-0.002530
84403,2021/05/18,WWD,119.45000,-0.019374,-0.008517
84403,2021/05/19,WWD,119.17000,-0.002344,-0.002943
84403,2021/05/20,WWD,120.60000,0.012000,0.010555
84403,2021/05/21,WWD,121.53000,0.007711,-0.000784
84403,2021/05/24,WWD,122.52000,0.008146,0.009911
84403,2021/05/25,WWD,120.41000,-0.017222,-0.002125
84403,2021/05/26,WWD,121.73000,0.010963,0.001877
84403,2021/05/27,WWD,128.03000,0.051754,0.001165
84403,2021/05/28,WWD,127.18000,-0.006639,0.000769
84403,2021/06/01,WWD,128.52000,0.010536,-0.000492
84403,2021/06/02,WWD,126.72000,-0.014006,0.001447
84403,2021/06/03,WWD,126.50000,-0.001736,-0.003629
84403,2021/06/04,WWD,126.96000,0.003636,0.008834
84403,2021/06/07,WWD,125.29000,-0.013154,-0.000797
84403,2021/06/08,WWD,126.60000,0.010456,0.000175
84403,2021/06/09,WWD,123.01000,-0.028357,-0.001824
84403,2021/06/10,WWD,122.12000,-0.007235,0.004652
84403,2021/06/11,WWD,123.19000,0.008762,0.001948
84403,2021/06/14,WWD,121.47000,-0.013962,0.001815
84403,2021/06/15,WWD,121.48000,0.000082,-0.002012
84403,2021/06/16,WWD,120.08000,-0.011525,-0.005390
84403,2021/06/17,WWD,117.57000,-0.020903,-0.000436
84403,2021/06/18,WWD,117.84000,0.002296,-0.013125
84403,2021/06/21,WWD,121.52000,0.031229,0.014002
84403,2021/06/22,WWD,122.43000,0.007489,0.005125
84403,2021/06/23,WWD,121.25000,-0.009638,-0.001083
84403,2021/06/24,WWD,122.67000,0.011711,0.005811
84403,2021/06/25,WWD,123.72000,0.008560,0.003331
84403,2021/06/28,WWD,120.45000,-0.026431,0.002315
84403,2021/06/29,WWD,119.40000,-0.008717,0.000277
84403,2021/06/30,WWD,122.88000,0.029146,0.001328
89393,2020/08/03,NFLX,498.62000,0.019923,0.007181
89393,2020/08/04,NFLX,509.64001,0.022101,0.003612
89393,2020/08/05,NFLX,502.10999,-0.014775,0.006430
89393,2020/08/06,NFLX,509.07999,0.013881,0.006428
89393,2020/08/07,NFLX,494.73001,-0.028188,0.000633
89393,2020/08/10,NFLX,483.38000,-0.022942,0.002742
89393,2020/08/11,NFLX,466.92999,-0.034031,-0.007969
89393,2020/08/12,NFLX,475.47000,0.018290,0.013997
89393,2020/08/13,NFLX,481.32999,0.012325,-0.002047
89393,2020/08/14,NFLX,482.67999,0.002805,-0.000172
89393,2020/08/17,NFLX,482.35001,-0.000684,0.002710
89393,2020/08/18,NFLX,491.87000,0.019737,0.002303
89393,2020/08/19,NFLX,484.53000,-0.014923,-0.004404
89393,2020/08/20,NFLX,497.89999,0.027594,0.003159
89393,2020/08/21,NFLX,492.31000,-0.011227,0.003441
89393,2020/08/24,NFLX,488.81000,-0.007109,0.010044
89393,2020/08/25,NFLX,490.57999,0.003621,0.003596
89393,2020/08/26,NFLX,547.53003,0.116087,0.010196
89393,2020/08/27,NFLX,526.27002,-0.038829,0.001673
89393,2020/08/28,NFLX,523.89001,-0.004522,0.006733
89393,2020/08/31,NFLX,529.56000,0.010823,-0.002195
89393,2020/09/01,NFLX,556.54999,0.050967,0.007525
89393,2020/09/02,NFLX,552.84003,-0.006666,0.015366
89393,2020/09/03,NFLX,525.75000,-0.049002,-0.035126
89393,2020/09/04,NFLX,516.04999,-0.018450,-0.008133
89393,2020/09/08,NFLX,507.01999,-0.017498,-0.027756
89393,2020/09/09,NFLX,500.19000,-0.013471,0.020145
89393,2020/09/10,NFLX,480.67001,-0.039025,-0.017585
89393,2020/09/11,NFLX,482.03000,0.002829,0.000533
89393,2020/09/14,NFLX,476.26001,-0.011970,0.012742
89393,2020/09/15,NFLX,495.98999,0.041427,0.005219
89393,2020/09/16,NFLX,483.85999,-0.024456,-0.004619
89393,2020/09/17,NFLX,470.20001,-0.028231,-0.008412
89393,2020/09/18,NFLX,469.95999,-0.000510,-0.011183
89393,2020/09/21,NFLX,487.35001,0.037003,-0.011571
89393,2020/09/22,NFLX,491.17001,0.007838,0.010518
89393,2020/09/23,NFLX,470.60999,-0.041859,-0.023721
89393,2020/09/24,NFLX,473.07999,0.005249,0.002987
89393,2020/09/25,NFLX,482.88000,0.020715,0.015977
89393,2020/09/28,NFLX,490.64999,0.016091,0.016111
89393,2020/09/29,NFLX,493.48001,0.005768,-0.004813
89393,2020/09/30,NFLX,500.03000,0.013273,0.008254
89393,2020/10/01,NFLX,527.51001,0.054957,0.005293
89393,2020/10/02,NFLX,503.06000,-0.046350,-0.009572
89393,2020/10/05,NFLX,520.65002,0.034966,0.017976
89393,2020/10/06,NFLX,505.87000,-0.028388,-0.013988
89393,2020/10/07,NFLX,534.65997,0.056912,0.017406
89393,2020/10/08,NFLX,531.78998,-0.005368,0.008007
89393,2020/10/09,NFLX,539.44000,0.014385,0.008791
89393,2020/10/12,NFLX,539.81000,0.000686,0.016419
89393,2020/10/13,NFLX,554.09003,0.026454,-0.006307
89393,2020/10/14,NFLX,541.45001,-0.022812,-0.006623
89393,2020/10/15,NFLX,541.94000,0.000905,-0.001528
89393,2020/10/16,NFLX,530.78998,-0.020574,0.000135
