"Stkcd","Trdmnt","Mretwd"
"300768","2020-01","0.007403"
"300768","2020-02","0.118672"
"300768","2020-03","-0.097324"
"300768","2020-04","0.189757"
"300768","2020-05","-0.054259"
"300768","2020-06","0.112206"
"300768","2020-07","0.012746"
"300768","2020-08","-0.055034"
"300768","2020-09","-0.035892"
"300768","2020-10","-0.000234"
"300768","2020-11","-0.086183"
"300768","2020-12","-0.067401"
"300768","2021-01","0.080517"
"300768","2021-02","-0.011699"
"300768","2021-03","-0.017499"
"300768","2021-04","-0.084599"
"300768","2021-05","0.041332"
"300768","2021-06","0.065068"
"300769","2019-07","0.049473"
"300769","2019-08","0.048450"
"300769","2019-09","-0.042569"
"300769","2019-10","-0.120557"
"300769","2019-11","0.136719"
"300769","2019-12","0.253881"
"300769","2020-01","0.193871"
"300769","2020-02","0.195117"
"300769","2020-03","-0.135262"
"300769","2020-04","0.070737"
"300769","2020-05","0.033869"
"300769","2020-06","0.126822"
"300769","2020-07","-0.000822"
"300769","2020-08","-0.180987"
"300769","2020-09","0.129753"
"300769","2020-10","0.106187"
"300769","2020-11","0.486093"
"300769","2020-12","0.129730"
"300769","2021-01","-0.156340"
"300769","2021-02","-0.184035"
"300769","2021-03","0.013032"
"300769","2021-04","0.235849"
"300769","2021-05","0.321305"
"300769","2021-06","0.085557"
"300770","2019-07","-0.086936"
"300770","2019-08","0.161053"
"300770","2019-09","-0.063250"
"300770","2019-10","0.270314"
"300770","2019-11","0.030150"
"300770","2019-12","0.156481"
"300770","2020-01","0.252077"
"300770","2020-02","0.038521"
"300770","2020-03","-0.088973"
"300770","2020-04","0.005844"
"300770","2020-05","0.086249"
"300770","2020-06","0.329252"
"300770","2020-07","-0.045570"
"300770","2020-08","-0.058067"
"300770","2020-09","-0.158699"
"300770","2020-10","-0.073809"
"300770","2020-11","-0.219467"
"300770","2020-12","0.038712"
"300770","2021-01","-0.059886"
"300770","2021-02","-0.124376"
"300770","2021-03","-0.167790"
"300770","2021-04","-0.024294"
"300770","2021-05","0.160460"
"300770","2021-06","-0.094108"
"300771","2019-07","0.067681"
"300771","2019-08","-0.037565"
"300771","2019-09","0.032835"
"300771","2019-10","-0.049508"
"300771","2019-11","-0.038530"
"300771","2019-12","0.182375"
"300771","2020-01","-0.072964"
"300771","2020-02","0.218856"
"300771","2020-03","-0.198028"
"300771","2020-04","0.049004"
"300771","2020-05","-0.063518"
"300771","2020-06","0.073254"
"300771","2020-07","0.018254"
"300771","2020-08","0.044687"
"300771","2020-09","-0.115394"
"300771","2020-10","-0.057633"
"300771","2020-11","-0.008055"
"300771","2020-12","-0.147068"
"300771","2021-01","-0.118829"
"300771","2021-02","0.008403"
"300771","2021-03","0.151587"
"300771","2021-04","-0.143349"
"300771","2021-05","-0.051086"
"300771","2021-06","0.047003"
"300772","2019-07","-0.132242"
"300772","2019-08","-0.026851"
"300772","2019-09","0.205071"
"300772","2019-10","0.110767"
"300772","2019-11","-0.145961"
"300772","2019-12","0.155903"
"300772","2020-01","-0.040632"
"300772","2020-02","-0.174706"
"300772","2020-03","-0.018532"
"300772","2020-04","-0.079884"
"300772","2020-05","0.053347"
"300772","2020-06","-0.063685"
"300772","2020-07","0.255061"
"300772","2020-08","-0.063226"
"300772","2020-09","-0.077135"
"300772","2020-10","0.145522"
"300772","2020-11","0.013029"
"300772","2020-12","0.064309"
"300772","2021-01","0.007251"
"300772","2021-02","0.000000"
"300772","2021-03","-0.098380"
"300772","2021-04","0.062542"
"300772","2021-05","0.018159"
"300772","2021-06","0.119926"
"300773","2019-07","0.156238"
"300773","2019-08","-0.065475"
"300773","2019-09","0.071850"
"300773","2019-10","-0.035184"
"300773","2019-11","-0.170066"
"300773","2019-12","0.634111"
"300773","2020-01","-0.013763"
"300773","2020-02","0.085799"
"300773","2020-03","-0.140426"
"300773","2020-04","-0.036411"
"300773","2020-05","0.035057"
"300773","2020-06","-0.007273"
"300773","2020-07","0.043716"
"300773","2020-08","0.060898"
"300773","2020-09","-0.008831"
"300773","2020-10","-0.112683"
"300773","2020-11","-0.015062"
"300773","2020-12","-0.102849"
"300773","2021-01","-0.040775"
"300773","2021-02","0.060279"
"300773","2021-03","-0.009859"
"300773","2021-04","0.083969"
"300773","2021-05","-0.052323"
"300773","2021-06","-0.060253"
"300775","2019-07","0.092177"
"300775","2019-08","0.564933"
"300775","2019-09","-0.208756"
"300775","2019-10","-0.180080"
"300775","2019-11","0.022452"
"300775","2019-12","0.003911"
"300775","2020-01","0.026970"
"300775","2020-02","-0.139189"
"300775","2020-03","-0.035593"
"300775","2020-04","-0.074165"
"300775","2020-05","-0.210326"
"300775","2020-06","0.045109"
"300775","2020-07","0.486137"
"300775","2020-08","0.010261"
"300775","2020-09","0.111419"
"300775","2020-10","-0.139020"
"300775","2020-11","0.103570"
"300775","2020-12","0.148936"
"300775","2021-01","-0.171740"
"300775","2021-02","-0.058806"
"300775","2021-03","-0.097950"
"300775","2021-04","0.037879"
"300775","2021-05","0.293693"
"300775","2021-06","0.029095"
"300776","2019-07","0.026432"
"300776","2019-08","-0.007050"
"300776","2019-09","0.167888"
"300776","2019-10","-0.178227"
"300776","2019-11","-0.023759"
"300776","2019-12","0.190697"
"300776","2020-01","-0.025012"
"300776","2020-02","-0.125578"
"300776","2020-03","-0.089274"
"300776","2020-04","0.107551"
"300776","2020-05","-0.027522"
"300776","2020-06","0.082114"
"300776","2020-07","0.059083"
"300776","2020-08","0.509974"
"300776","2020-09","0.025004"
"300776","2020-10","-0.158596"
"300776","2020-11","0.073129"
"300776","2020-12","0.211290"
"300776","2021-01","-0.091877"
"300776","2021-02","-0.116202"
"300776","2021-03","-0.058648"
"300776","2021-04","0.013835"
"300776","2021-05","0.100391"
"300776","2021-06","0.186858"
"300777","2019-07","-0.131793"
"300777","2019-08","0.260407"
"300777","2019-09","-0.150981"
"300777","2019-10","-0.055279"
"300777","2019-11","-0.098762"
"300777","2019-12","0.060804"
"300777","2020-01","0.099417"
"300777","2020-02","-0.017378"
"300777","2020-03","0.034173"
"300777","2020-04","-0.117101"
"300777","2020-05","-0.017728"
"300777","2020-06","0.212652"
"300777","2020-07","0.367403"
"300777","2020-08","-0.013737"
"300777","2020-09","0.074969"
"300777","2020-10","-0.105945"
"300777","2020-11","-0.022805"
"300777","2020-12","0.103817"
"300777","2021-01","0.051571"
"300777","2021-02","-0.052988"
"300777","2021-03","-0.146825"
"300777","2021-04","-0.173953"
"300777","2021-05","0.311374"
"300777","2021-06","-0.030056"
"300778","2019-07","-0.080804"
"300778","2019-08","0.089607"
"300778","2019-09","-0.066414"
"300778","2019-10","-0.067797"
"300778","2019-11","0.053521"
"300778","2019-12","0.047885"
"300778","2020-01","-0.084899"
"300778","2020-02","-0.125475"
"300778","2020-03","-0.016522"
"300778","2020-04","-0.073386"
"300778","2020-05","0.028308"
"300778","2020-06","0.149330"
"300778","2020-07","0.479330"
"300778","2020-08","0.339261"
"300778","2020-09","-0.480945"
"300778","2020-10","0.014618"
"300778","2020-11","-0.002947"
"300778","2020-12","-0.134975"
"300778","2021-01","-0.147684"
"300778","2021-02","0.160356"
"300778","2021-03","-0.086372"
"300778","2021-04","-0.010084"
"300778","2021-05","0.004836"
"300778","2021-06","0.030612"
"300779","2019-07","-0.325711"
"300779","2019-08","0.011025"
"300779","2019-09","-0.059507"
"300779","2019-10","-0.169328"
"300779","2019-11","-0.033370"
"300779","2019-12","0.180488"
"300779","2020-01","0.076923"
"300779","2020-02","-0.222845"
"300779","2020-03","-0.149639"
"300779","2020-04","-0.099598"
"300779","2020-05","-0.058532"
"300779","2020-06","-0.003658"
"300779","2020-07","0.159490"
"300779","2020-08","0.017423"
"300779","2020-09","-0.063091"
"300779","2020-10","0.101491"
"300779","2020-11","-0.076856"
"300779","2020-12","-0.164617"
"300779","2021-01","-0.105323"
"300779","2021-02","0.150633"
"300779","2021-03","0.059956"
"300779","2021-04","-0.159315"
"300779","2021-05","0.001852"
"300779","2021-06","0.044637"
"300780","2019-07","-0.234797"
"300780","2019-08","-0.004415"
"300780","2019-09","0.211973"
"300780","2019-10","-0.248811"
"300780","2019-11","-0.018022"
"300780","2019-12","0.152282"
"300780","2020-01","-0.125700"
"300780","2020-02","-0.149680"
"300780","2020-03","-0.002895"
"300780","2020-04","0.092334"
"300780","2020-05","-0.097820"
"300780","2020-06","0.037723"
"300780","2020-07","0.102798"
"300780","2020-08","-0.003625"
"300780","2020-09","-0.068087"
"300780","2020-10","0.266035"
"300780","2020-11","-0.146696"
"300780","2020-12","-0.144037"
"300780","2021-01","-0.097708"
"300780","2021-02","0.002674"
"300780","2021-03","0.038667"
"300780","2021-04","-0.074454"
"300780","2021-05","-0.017337"
"300780","2021-06","0.031757"
"300781","2019-07","-0.243972"
"300781","2019-08","-0.005219"
"300781","2019-09","0.126494"
"300781","2019-10","-0.198772"
"300781","2019-11","0.034031"
"300781","2019-12","0.027848"
"300781","2020-01","0.026786"
"300781","2020-02","-0.157421"
"300781","2020-03","-0.089324"
